Name,Link Product,Store,Type,Author Name,Short Description,Publisher,Translators,Categories,Width,Length,Height,Product ID,Price,Original Price,Discount,Discount Rate,Rating,Review Count,Quantity Sold,Number of page,Range Price,Publication Date,Publication Year
Một Cuốn Sách Về Chủ Nghĩa Tối Giản (Tái bản 2022),https://tiki.vn/mot-cuon-sach-ve-chu-nghia-toi-gian-tai-ban-2022-p173865570.html?spid=173865571,The Present Writer,simple,Chi Nguyễn – The Present Writer,"Tác giả: Chi Nguyễn — The Present WriterNăm xuất bản: 2022 tái bản lần thứ 3 (8-2022)Kích thước: 14,5x20cmNhà xuất bản: Nhà Xuất Bản Thế GiớiLoại bìa: Bìa mềmSố trang: 194"" ""Đúng như tên gọi, đây...",Nhà Xuất Bản Thế Giới,Unknown,Sách tư duy - Kỹ năng sống,13.0,19.0,0.0,173865570,129000,129000,0,0,5.0,624,4787.0,194.0,Mức 3,2022-12-01 00:00:00,2022.0
Cơ Thể Ta Đã Hai Triệu Năm - Giải Mã Các Căn Bệnh Thời Hiện Đại,https://tiki.vn/co-the-ta-da-hai-trieu-nam-giai-ma-cac-can-benh-thoi-hien-dai-p71898415.html?spid=72154040,Nhà sách Fahasa,simple,Yongchul Kwon,"Những người nguyên thủy vốn cầm dao và cung đi săn bắn. Để tăng hiệu quả săn bắn, huyết áp của họ tăng lên như một cách thích nghi sinh tồn. Thế nhưng, người hiện đại hầu như không phải chạy nhiều, họ...",Thái Hà,Phạm Hồng Nhung,Sách tiếng Việt,14.5,20.5,0.0,71898415,63200,79000,15800,20,4.8,44,328.0,204.0,Mức 2,2019-01-08 00:07:25,2019.0
Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),https://tiki.vn/ky-luat-tu-giac-tang-kem-bookmark-p72882553.html?spid=73384928,Nhà sách Fahasa,simple,Tiểu Dã,"TỰ GIÁC BAO NHIÊU, TỰ DO BẤY NHIÊUTheo bạn thì, thế nào là tự do?Là có thể nằm ườn trên ghế sô pha xem phim, ôm điện thoại lướt mạng cả ngày?Hay là được ăn thoải mái các thể loại đồ ăn nhanh, trà sữ...",Skybooks,Xanh Dương,Sách tiếng Việt,13.0,20.0,0.0,72882553,67200,84000,16800,20,5.0,100,333.0,216.0,Mức 2,2020-11-15 00:00:00,2020.0
Bài tập bổ trợ Tiếng Anh 10 Bright,https://tiki.vn/bai-tap-bo-tro-tieng-anh-10-bright-p202242054.html?spid=202242055,Dtpbooks,simple,Unknown,Sách bài tập bổ trợ Tiếng Anh 10 Bright được biên soạn với mục tiêu mang đến cho các em học sinh nguồn bài tập bổ trợ phong phú theo sát chương trình học. Các bài tập được thiết kế theo các dạng bài k...,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Unknown,ELTs,11.3,17.6,0.0,202242054,118000,118000,0,0,5.0,11,303.0,408.5788395904437,Mức 3,2023-09-22 00:00:00,2023.0
COMBO TRỘM MỆNH ( 2 Tập),https://tiki.vn/combo-trom-menh-2-tap-p270494644.html?spid=270494645,Tiki Trading,simple,Nhất Mai Đồng Tiền,"Tập 1:Người đã khuất tất có oan khiên, di nguyện cần hóa giải, người còn sống ắt có sân hận, buồn thương cần giãi bày. Âm dương cách biệt, tưởng chừng chỉ luân hồi chuyển kiếp mới có thể trả hết nghi...",Linh Lan Books,Hàn Vũ Phi,Truyện ngôn tình,14.0,20.5,0.0,270494644,259000,378000,119000,31,4.5,10,69.0,408.5788395904437,Mức 5,2018-05-04 00:00:00,2018.0
Cách Sống (Tái Bản 2020),https://tiki.vn/cach-song-tai-ban-2020-p55119955.html?spid=57747451,Nhà sách Fahasa,simple,Inamori Kazuo,"Cách sống giống như một cây gậy đập vào dòng chảy xiết của thời đại u mê. Tại sao tình trạng u ám bế tắc đó bao trùm toàn xã hội? đó pải chăng là do con người đánh mất phương hướng cuộc đời, không nhì...",Thái Hà,Phạm Hữu Lợi,Sách nghệ thuật sống đẹp,13.0,20.5,0.0,55119955,68000,85000,17000,20,5.0,20,157.0,226.0,Mức 2,2020-05-01 00:00:00,2020.0
Ngày Nghỉ Của Ngài Phản Diện Tập 2 [Tặng Kèm Bookmark PVC],https://tiki.vn/ngay-nghi-cua-ngai-phan-dien-tap-2-tang-kem-bookmark-pvc-p270990947.html?spid=270990949,Tiki Trading,simple,Yuu Morikawa,"Hắn là “Thống lĩnh” của Tổ chức hắc ám có mưu đồ xâm chiếm Trái Đất. Mỗi ngày hắn đều phải đối đầu với “Siêu nhân” - Đội vệ binh địa cầu. Khi cơn căng thẳng của hắn chạm nóc, chính sự đáng yêu và mềm ...",Kim Đồng,Sachi,"Truyện Tranh, Manga, Comic",13.0,18.0,0.0,270990947,37500,40000,2500,6,5.0,4,51.0,408.5788395904437,Mức 1,2023-11-08 00:00:00,2023.0
“Kinh Nghiệm Và Giáo Dục” (Experience And Education),https://tiki.vn/kinh-nghiem-va-giao-duc-experience-and-education-p176560456.html?spid=176560457,Tiki Trading,simple,John Dewey,KINH NGHIỆM VÀ GIÁO DỤC (Experience and Education) của John Dewey là tác phẩm được xuất bản năm 1938. Cuốn sách đã đề cập đến những vấn đề tranh luận đang chia rẽ nền giáo dục Mỹ thành hai phe và do đ...,Viện IRED,Phạm Anh Tuấn,Triết Học,12.0,20.0,0.0,176560456,67500,85000,17500,21,5.0,11,189.0,252.0,Mức 2,2022-01-01 00:00:00,2022.0
"Sách đánh thức tài năng toán học 1, toán lớp 1, toán lớp 2 ( 7 -  8 tuổi )",https://tiki.vn/sach-danh-thuc-tai-nang-toan-hoc-1-toan-lop-1-toan-lop-2-7-8-tuoi-p115013012.html?spid=115013013,Hiệu sách Gen books,simple,Terry Chew,"SÁCH TOÁN LỚP 1 LỚP 2 - SÁCH ĐÁNH THỨC TÀI NĂNG TOÁN HỌC 1 - SÁCH SONG NGỮ ANH VIỆT, TỔNG HỢP KIẾN THỨC TOÁN HỌC VÀ ÔN LUYỆN TIẾNG ANH DÀNH CHO HỌC SINH LỚP 1, LỚP 2 - HIỆU SÁCH GENBOOKSĐánh thức tài...",Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Unknown,Sách tham khảo cấp I,14.4,20.5,0.0,115013012,176250,235000,58750,25,5.0,19,215.0,359.0,Mức 4,2020-06-20 17:15:30,2020.0
Full bộ (20 quyển) Truyện kể Mầm non - Cổ tích - Ngụ ngôn Aesop (giao ngẫu nhiên),https://tiki.vn/full-bo-20-quyen-truyen-ke-mam-non-co-tich-ngu-ngon-aesop-giao-ngau-nhien-p73139676.html?spid=73139677,TUANVIET BOOKS Official Store,simple,Unknown,"Từ xa xưa, ai cũng nghe trong lời kể của bà của mẹ về cô Tấm nết na, về Thánh Gióng dũng cảm. Những câu chuyện cổ tích luôn theo ta lớn lên hàng ngày từ thuở ầu ơ. Cùng với lời ru những câu chuyện nu...",NXB Đồng Nai,Unknown,Truyện cổ tích,14.0,20.5,0.0,73139676,105708,207271,101563,49,4.8,615,3064.0,16.0,Mức 3,2023-03-03 00:00:00,2023.0
Luật Hấp Dẫn - Quy Luật Về Sự Thịnh Vượng Và Thành Công,https://tiki.vn/luat-hap-dan-quy-luat-ve-su-thinh-vuong-va-thanh-cong-p179546074.html?spid=179546075,Tiki Trading,simple,Prentice Mulford,"“Nếu bạn nghĩ về bất cứ điều gì trong một giây, bạn sẽ biến điều đó thành một thực tại không thể thấy được kéo dài một giây. Nếu bạn nghĩ về nó trong nhiều giờ, nhiều ngày và nhiều năm, bằng một cách ...",1980 Books,1980Books dịch,Sách tư duy - Kỹ năng sống,13.0,19.0,0.0,179546074,86000,129000,43000,33,4.7,93,1167.0,260.0,Mức 2,2022-04-01 00:00:00,2022.0
Quyền Lực Đích Thực (Tái Bản Lần 11),https://tiki.vn/quyen-luc-dich-thuc-tai-ban-lan-11-p173515982.html?spid=173515983,Tiki Trading,simple,Thích Nhất Hạnh,"Đã tái bản lần thứ 12Đối với chúng ta quyền lực có ý nghĩa gì? Tại sao ai cũng tìm mọi cách để đạt cho được quyền lực? Cho dù có thể không để ý, nhưng phần đông chúng ta luôn luôn cố đạt cho được một ...",Phương Nam Book,Unknown,Sách Tôn Giáo - Tâm Linh,14.0,20.5,0.0,173515982,102200,140000,37800,27,5.0,52,690.0,264.0,Mức 3,2022-04-07 00:00:00,2022.0
Câu Hỏi - Bài Tập - Trắc Nghiệm Kinh Tế Vi Mô,https://tiki.vn/cau-hoi-bai-tap-trac-nghiem-kinh-te-vi-mo-p1197797.html?spid=74570054,NHBook,simple,"TS. Nguyễn Hoàng Bảo, ThS. Trần Bá Thọ, ThS. Trần Thị Bích Dung, TS. Nguyễn Như Ý",Câu Hỏi - Bài Tập - Trắc Nghiệm Kinh Tế Vi Mô        Kinh tế vi mô là một trong những môn học cơ sở ngành đối với sinh viên thuộc khối ngành kinh tế ở tất cả các trường Đại    học v...,Nhà Sách Lộc,Unknown,Sách tiếng Việt,16.0,24.0,0.0,1197797,87300,90000,2700,3,5.0,126,580.0,299.0,Mức 2,2017-01-01 00:00:00,2017.0
Tôi Bị Cô Nàng “Trà Xanh” Cùng Lớp Uy Hiếp (Tập 1),https://tiki.vn/toi-bi-co-nang-tra-xanh-cung-lop-uy-hiep-tap-1-p271538442.html?spid=271538444,Tiki Trading,configurable,Nhàn Quân 110,"Bản Đặc Biệt Tặng Kèm :Tặng set 2 postcard kẹp trong sách.Tặng lót ly gốm và photostrip đặt bên ngoài.Bản Thường Tặng Kèm :Tặng set 2 postcard kẹp trong sách.Sau giờ tan học, học sinh gương mẫu L...",Meibooks,Unknown,"Truyện Tranh, Manga, Comic",14.5,20.5,0.0,271538442,106000,119000,13000,11,5.0,3,31.0,144.0,Mức 3,2023-08-17 00:00:00,2023.0
Chữa Bệnh Bằng Luân  Xa,https://tiki.vn/chua-benh-bang-luan-xa-p263514077.html?spid=263514079,Tiki Trading,simple,Margarita Alcantara,"Lấy lại sự cân bằng cho tâm trí, cơ thể và tinh thần thông qua trị liệu luân xa cho người mới bắt đầuMọi sinh vật sống đều có các trung tâm năng lượng mạnh mẽ gọi là các luân xa (chakra). Mỗi luân xa...",Pandabooks,Đỗ Ngọc Bảo Trân,Sách Y Học,14.5,20.5,0.0,263514077,153900,199000,45100,23,5.0,1,35.0,240.0,Mức 4,2023-06-01 00:00:00,2023.0
Con quái vật trong tâm trí – Những ca bệnh tâm lý oái oăm,https://tiki.vn/con-quai-vat-trong-tam-tri-nhung-ca-benh-tam-ly-oai-oam-p271518933.html?spid=271518939,Tiki Trading,simple,Diêu Nghiêu,"Trầm cảm, lo lắng, cuồng mua sắm, ám ảnh sợ xã hội… Chúng ta làm thế nào để vỗ yên những con quái vật cấu xé nội tâm này?Thông qua việc phân tích các ca tâm lý như 24 nhân cách của Billy Milligan, bệ...",Nhã Nam,Đặng Hồng Quân.,Kiến Thức Bách Khoa,14.0,20.5,0.0,271518933,122000,148000,26000,18,4.0,1,4.0,350.0,Mức 3,2023-08-24 00:00:00,2023.0
Hananoi và Triệu chứng tình yêu,https://tiki.vn/hananoi-va-trieu-chung-tinh-yeu-p271782878.html?spid=271782881,Tiki Trading,configurable,Megumi Morino,"Hananoi là hotboy của trường, tuy đẹp trai và thông minh nhưng vô cùng khó gần. Hotaru lại là một nữ sinh bình thường như bao nữ sinh khác. Sau khi chứng kiến cảnh Hananoi chia tay với bạn gái, Hotaru...",NXB Trẻ,Thanh Nguyên,"Truyện Tranh, Manga, Comic",11.3,17.6,0.0,271782878,38100,38100,0,0,5.0,1,10.0,188.0,Mức 1,2023-09-15 00:00:00,2023.0
Đại Gia Gatsby,https://tiki.vn/dai-gia-gatsby-p193099631.html?spid=193099632,Tiki Trading,simple,Francis Scott Key Fitzgerald,"Phất lên nhanh chóng từ chỗ ""hàn vi"", Gastby, nhân vật chính của câu chuyện, những tưởng sẽ có được tất cả - tiền bạc, quyền lực, và sau rốt là tình yêu -, nhưng rồi cái ảo tưởng tình yêu đó tan vỡ th...",Nhã Nam,Trịnh Lữ,Tác phẩm kinh điển,14.0,20.5,0.0,193099631,65000,86000,21000,24,5.0,61,544.0,260.0,Mức 2,2022-07-07 00:00:00,2022.0
"Bong Bóng Kiếng Lá Nhôm Bạc Hình Xe, Máy Bay, Tàu Cho Bé Trai, Bé Gái Chơi Và Trang Trí Tiệc Sinh Nhật",https://tiki.vn/bong-bong-kieng-la-nhom-bac-hinh-xe-may-bay-tau-cho-be-trai-be-gai-choi-va-trang-tri-tiec-sinh-nhat-p137951953.html?spid=137951956,Doni House,configurable,Unknown,Bong Bóng Nhôm Hình Xe Dành Cho Bé Trai Và Bé Gái Dùng Để Trang Trí Tiệc Sinh Nhật   _ Chất liệu: Bong bóng kiếng lá bạc   _ Cảnh báo: Bơm hơi chậm và cẩn thận trường hợp bơm hơi quá mức...,Others,Unknown,Phụ kiện - Vật liệu trang trí,13.5,21.0,0.0,137951953,5900,10000,4100,41,4.0,1,14.0,408.5788395904437,Mức 1,2018-11-13 10:53:26,2018.0
"Kế Hoạch Quản Lý Tài Chính Cá Nhân - ""Phương Pháp 9 Bước Để Đặt Được Tự Do Tài Chính""",https://tiki.vn/ke-hoach-quan-ly-tai-chinh-ca-nhan-phuong-phap-9-buoc-de-dat-duoc-tu-do-tai-chinh-p75639706.html?spid=80960111,Nhà sách Fahasa,simple,"Vicky Robin, Joe Dominguez",Kế Hoạch Quản Lý Tài Chính Cá Nhân – Phương pháp 9 bước để đạt được tự do tài chínhMuốn quản lý tài chính – Kiểm soát – Tiết Kiệm – Đầu tư tiền bạn chỉ cần đọc cuốn sách này “Kế hoạch quản lý tài chí...,BIZBOOKS,Nguyệt Minh,"Sách tài chính, tiền tệ",13.0,20.5,0.0,75639706,147500,189000,41500,22,5.0,30,150.0,540.0,Mức 3,2021-01-12 00:00:00,2021.0
"Sách Ancient Egypt ( Ai Cập cổ đại ) - Tổng Hợp Kiến Thức Bách Khoa Lịch Sử Về Nền Văn Minh Ai Cập - Á Châu Books, Bìa Cứng, In Màu",https://tiki.vn/ancient-egypt-ai-cap-co-dai-cau-chuyen-ve-nen-van-minh-ben-bo-song-nile-p249697050.html?spid=249697051,Hiệu sách Gen books,simple,nhieu tac gia,SÁCH BÁCH KHOA TOÀN THƯ - SÁCH AI CẬP CỔ ĐẠI ( ANCIENT EGYPT ) - SÁCH THAM KHẢO KIẾN THỨC VỀ LỊCH SỬ NỀN VĂN MINH AI CẬP TRONG THỜI KỲ CỔ ĐẠI - HIỆU SÁCH GENBOOKSNỘI DUNG CỦA SÁCH AI CẬP CỔ ĐẠI Cuố...,Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Unknown,Kiến thức - Bách khoa,16.0,24.0,0.0,249697050,321300,459000,137700,30,5.0,11,125.0,224.0,Mức 5,2023-04-01 13:50:28,2023.0
Dịch Hạch (Nobel Văn Chương 1957),https://tiki.vn/dich-hach-nobel-van-chuong-1957-p52785564.html?spid=53467428,Nhà sách Fahasa,simple,Albert Camus,"Ngay khi vừa xuất bản năm 1947, cuốn tiểu thuyết Dịch hạch của Albert Camus đã gây tiếng vang lớn: 161.000 bản được bán hết trong hai năm đầu tiên. Kể từ đó đến nay, chỉ tính riêng ngôn ngữ tiếng Pháp...",Nhã Nam,Võ Văn Dung,Tác phẩm kinh điển,14.0,20.5,0.0,52785564,109700,129000,19300,15,4.6,18,84.0,392.0,Mức 3,2020-04-01 00:00:00,2020.0
Ma Quỷ Dân Gian Ký,https://tiki.vn/ma-quy-dan-gian-ky-p213704979.html?spid=213704982,Tiki Trading,simple,Duy Văn,“MA QUỶ DÂN GIAN KÝ” - KHI MA QUỶ VIỆT NAM CHÍNH THỨC ĐƯỢC ĐƯA VÀO TRANG SÁCH Cuốn sách “Ma quỷ dân gian ký” là một trong số ít những công trình hiếm hoi đề cập đến những câu chuyện về ma quỷ được tr...,Linh Lan Books,Unknown,Truyện kinh dị,17.0,21.5,0.0,213704979,187000,268000,81000,30,5.0,229,1363.0,260.0,Mức 4,2023-01-01 00:00:00,2023.0
Nghiệp Tình Yêu (Tái Bản),https://tiki.vn/nghiep-tinh-yeu-tai-ban-p143185985.html?spid=143185986,Tiki Trading,simple,Geshe Michael Roach,"Geshe Michael Roach đã viết cuốn sách Năng đoạn Kim cương. Nó được đặt theo tên của một bộ kinh nổi tiếng giải thích về nghiệp cùng khía cạnh kém quan trọng hơn của nó, đó là khái niệm “không” trong P...",Thái Hà,Hà Tú,Triết Học,15.5,24.0,0.0,143185985,137000,199000,62000,31,4.8,47,354.0,598.0,Mức 3,2021-11-01 00:00:00,2021.0
Hai Vạn Dặm Dưới Đáy Biển (Tái Bản 2020),https://tiki.vn/hai-van-dam-duoi-day-bien-tai-ban-2020-p68570324.html?spid=68570325,Tiki Trading,simple,Jules Verne,"Trong chuyến săn tìm một sinh vật lạ mới xuất hiện ngoài biển khơi, đoàn thám hiểm của giáo sư Pierre Aronnax bất ngờ bị một con vật khổng lồ nuốt chửng vào bụng. Nhưng nhờ đó, họ đã được chu du khắp ...",Huy Hoàng Bookstore,Đỗ Ca Sơn,Văn học thiếu nhi,13.5,20.5,0.0,68570324,78000,98000,20000,20,4.8,216,1471.0,388.0,Mức 2,2020-09-01 00:00:00,2020.0
Sống như bông pháo hoa: Hành trình khám phá điều quý giá nhất cuộc đời,https://tiki.vn/song-nhu-bong-phao-hoa-hanh-trinh-kham-pha-dieu-quy-gia-nhat-cuoc-doi-p263336124.html?spid=263336126,Tiki Trading,simple,Ruby Nguyen,"Cuốn sách “Sống như bông pháo hoa” là một cuộc hành trình khám phá điều quý giá nhất cuộc đời. Trong phòng trà giản dị, yên bình giữa núi rừng Đà Lạt, chúng ta được xem thước phim tua chậm về cuộc trò...",Thái Hà,Unknown,Sách nghệ thuật sống đẹp,13.5,20.5,0.0,263336124,190000,286000,96000,34,5.0,1,63.0,304.0,Mức 4,2023-06-01 00:00:00,2023.0
"Madame Chic - Rất Thần Thái, Rất Paris",https://tiki.vn/madame-chic-rat-than-thai-rat-paris-p32192510.html?spid=34747621,Nhà sách Fahasa,simple,Jennifer L. Scott,"Sau thành công của 20 Bí mật sành điệu từ Madame Chic và At home with Madame Chic – Thanh lịch từ những khoảnh khoắc đời thường, Jennifer quay lại với bạn đọc bằng Madame Chic – Rất thần thái, Rất Par...",Bloom Books,Unknown,Sách Làm Đẹp,14.5,20.0,0.0,32192510,77300,99000,21700,22,5.0,71,438.0,256.0,Mức 2,2019-09-01 00:00:00,2019.0
Muôn Kiếp Nhân Sinh 3 (Bìa Cứng) - Nguyên Phong,https://tiki.vn/muon-kiep-nhan-sinh-3-bia-cung-nguyen-phong-p272222239.html?spid=272222240,First News,simple,Nguyên Phong,"MUÔN KIẾP NHÂN SINH – TẬP 3 (Bìa Cứng)Nối tiếp câu chuyện và tinh thần của tập 1 và tập 2,  tiếp tục đưa bạn đọc đi qua hành trình thức tỉnh tâm linh của nhân vật chính Thomas. Không chỉ là hồi tiếp ...",First News - Trí Việt,Unknown,Sách Tôn Giáo - Tâm Linh,13.0,20.5,0.0,272222239,216000,288000,72000,25,5.0,2,10.0,438.0,Mức 5,2023-09-22 00:00:00,2023.0
Tiếng Anh 10 Bright Student's Book (Sách học sinh),https://tiki.vn/tieng-anh-10-bright-student-s-book-sach-hoc-sinh-p185243205.html?spid=185243206,Dtpbooks,simple,Unknown,"Tiếng Anh 10 Bright là khóa học tiếng Anh dành cho học sinh THPT. Bright đã được phát triển bởi một đội ngũ giàu kinh nghiệm gồm các nhà văn, giáo viên quốc tế và Việt Nam để trở nên hoàn hảo cho lớp ...",CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Unknown,ELTs,13.0,20.0,0.0,185243205,69000,69000,0,0,5.0,30,355.0,408.5788395904437,Mức 2,2021-10-10 00:00:00,2021.0
Lịch sử thế giới qua 6 thức uống:  A history of the world in 6 glasses (The New York Times Bestseller),https://tiki.vn/lich-su-the-gioi-qua-6-thuc-uong-a-history-of-the-world-in-6-glasses-the-new-york-times-bestseller-p198573178.html?spid=198573184,Tiki Trading,simple,Tom Standage,"LỊCH SỬ THẾ GIỚI QUA 6 THỨC UỐNG mang tới một góc nhìn mới lạ, đầy thú vị về lịch sử nhân loại qua những thức uống quen thuộc ngày nay. Cuốn sách đưa chúng ta ngược dòng thời gian khám phá những cánh ...",Huy Hoàng Bookstore,Miên Túc,Lịch Sử Thế Giới,13.0,20.5,0.0,198573178,94100,148000,53900,36,5.0,50,693.0,372.0,Mức 2,2022-10-06 00:00:00,2022.0
